Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Classical,Classical,Classical,Classical,Classical,CountSketch,CountSketch,CountSketch,CountSketch,CountSketch,SRHT,SRHT,SRHT,SRHT,SRHT,SJLT,SJLT,SJLT,SJLT,SJLT,Gaussian,Gaussian,Gaussian,Gaussian,Gaussian
Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0017364273779094219,0.00037575876340270045,0.0019657027907669542,0.0028453567638477366,6.18592012912217e-05,0.0176169328391552,0.0003627846948802471,0.0001383146271109581,0.003920564404696631,0.00013952557010890243,0.00691517936065793,0.000330154225230217,0.0019462027586996556,0.0029794552804808952,6.469461210150612e-05,0.10956614827737213,0.00039425082504749296,0.00014267796650528907,0.002960394608290086,0.00011495888036619228
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.001620843354612589,0.0002973254770040512,0.0017847883515059947,0.0008418244163128951,6.904633081123705e-05,0.016625213995575906,0.0003679237328469753,0.00013355109840631484,0.0015784582586914025,6.214205158541511e-05,0.0069660267792642115,0.00028950534760951996,0.0018913122825324536,0.0009825284632178786,5.955533432433316e-05,0.10655385423451662,0.00041584577411413193,0.00013999398797750472,0.0010809652247060102,5.1096234749806074e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.001532952580600977,0.0002804810181260109,0.0017876096069812774,0.00026649247041202103,5.73244670074064e-05,0.016477200854569673,0.0003720240667462349,0.00013430500403046607,0.0005952000500895319,5.575531117388852e-05,0.006940569076687097,0.00028870012611150744,0.0018830452114343642,0.00028117413495768075,5.633222832835887e-05,0.10551501726731657,0.00041890302672982217,0.00014031967148184777,0.0005788878670704293,5.606052943881696e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0015128042548894882,0.000283106230199337,0.001863402035087347,8.626481145079737e-05,5.6730817245340514e-05,0.01650684718042612,0.00037039369344711305,0.00013406891375780105,0.00021497987817351813,5.5492811479924614e-05,0.0069315418601036075,0.00028846627101302146,0.0018628559075295926,0.00012205392365432065,5.6569715069823036e-05,0.10442505590617657,0.00042374935001134875,0.0001424359157681465,0.0002099251419839918,5.770031499310745e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0015955397859215737,0.0002876776270568371,0.0018472296185791492,3.3922735398290845e-05,5.623221227685476e-05,0.01656700288876891,0.000377744622528553,0.00013218894600868224,7.323833575541728e-05,5.6141648335557736e-05,0.006939422618597746,0.00028565479442477226,0.0018589001148939133,3.913587363143266e-05,5.613145247774688e-05,0.10573439868167042,0.00042444420978426933,0.00015622004866600037,3.946748394665472e-05,5.632109905487531e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.001608644053339958,0.0002818239852786064,0.0018797816708683967,1.578959374774869e-05,5.6397473900548587e-05,0.016552116256207228,0.0003736114129424095,0.0001327281817793846,2.544405543163857e-05,5.645441586506359e-05,0.006939334888011217,0.00028535621240735056,0.0018622240982949733,1.530949900110476e-05,5.648214611517719e-05,0.10623004948720335,0.0004240339621901512,0.0001461154781281948,2.1921972532410187e-05,5.647013140898785e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0015912082977592944,0.0002823024056851864,0.0018751818686723709,4.7819567597792174e-06,5.6445615888484613e-05,0.016769012622535228,0.000375400111079216,0.0001364637166261673,9.679087578868286e-06,5.6347569683911e-05,0.00693658934906125,0.0002813712693750858,0.0019175534136593342,8.334551654015058e-06,5.6375699482562924e-05,0.1052109963260591,0.0004218817688524723,0.00014377878978848456,8.523939166086718e-06,5.640228077437492e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.001594710908830166,0.0002870761789381504,0.0018724014051258564,1.1950952728446915e-06,5.640754601848206e-05,0.016522129997611046,0.0003746809437870979,0.00013366378843784332,3.197301865524816e-06,5.638890225939941e-05,0.00622135316953063,0.0001464725472033024,0.0009706911630928516,3.1953130258736288e-06,5.64460105512745e-05,0.1051626717671752,0.0004203367047011852,0.00014458633959293365,2.292115912730207e-06,5.641184242576856e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0016064892522990703,0.00028679389506578443,0.001889748964458704,3.8208229721213417e-07,5.640848993181538e-05,0.016753632575273514,0.0003724334761500359,0.00013496540486812592,1.268323190761549e-06,5.64155597405572e-05,0.002800896391272545,0.00013078870251774787,0.0009182182140648365,1.2839523615675392e-06,5.639850499937516e-05,0.10522191356867552,0.00042473264038562776,0.0001407001167535782,5.547025855307115e-07,5.640621895106785e-05
0.0,0.010301231779158116,0.0,0.0,5.64085231264873e-05,0.0018998684361577034,0.0008484167046844959,0.0008431823924183845,0.009776396170351183,0.00024224806201550382,0.0015990459360182285,0.00027863867580890656,0.001873463112860918,1.4129223611317226e-07,5.640750878964502e-05,0.01643885634839535,0.00037461332976818085,0.0001326845958828926,5.13667976432631e-07,5.6404094332223684e-05,0.002788706589490175,0.00013261297717690468,0.0009178833104670047,4.676418671035104e-07,5.640695730216919e-05,0.10524386046454311,0.0004199028946459293,0.000142790749669075,2.1550998217445606e-07,5.640674198299127e-05
